how_old_are_you,industry,job_title,annual_salary,other_monetary_comp,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed
25-34,Education (Higher Education),Gardens Manager,39000,0.0,Montana,Missoula,8 - 10 years,5-7 years,Master's degree
25-34,Nonprofits,Program Officer,48500,0.0,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree
35-44,Biotech,Scientist,125000,7800.0,California,South San Francisco,11 - 20 years,11 - 20 years,Master's degree
35-44,Nonprofits,Program Supervisor,47500,1500.0,Pennsylvania,West Chester,11 - 20 years,11 - 20 years,College degree
25-34,Law,Associate Attorney,78000,3000.0,Massachusetts,Boston Suburb,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)"
25-34,Transport or Logistics,Customer Account Manager,70000,0.0,Georgia,Atlanta,5-7 years,5-7 years,College degree
25-34,Education (Primary/Secondary),Head Toddler Teacher,52500,0.0,New York,New York,5-7 years,5-7 years,Master's degree
25-34,Government and Public Administration,Analyst,77000,0.0,Virginia,Chesapeake,11 - 20 years,8 - 10 years,Master's degree
25-34,Insurance,Executive Admin,36000,,Pennsylvania,Pittsburgh,11 - 20 years,8 - 10 years,College degree
25-34,Education (Primary/Secondary),Teacher,48809,0.0,Michigan,Allen Park,8 - 10 years,8 - 10 years,Master's degree
25-34,Computing or Tech,Senior Software Development Engineer,160000,210000.0,Washington,Seattle,8 - 10 years,8 - 10 years,College degree
25-34,Computing or Tech,Client Manager,72800,0.0,Florida,Orlando,11 - 20 years,2 - 4 years,Master's degree
25-34,Oil & Gas,Pension Administrator,82000,8200.0,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree
25-34,Health care,Asst. Office Manager,52000,500.0,Texas,Richardson,8 - 10 years,5-7 years,College degree
35-44,Nonprofits,Senior Associate,78500,,California,Los Angeles,11 - 20 years,8 - 10 years,Master's degree
25-34,Computing or Tech,Systems Engineer,84000,,Massachusetts,Cambridge,5-7 years,5-7 years,College degree
25-34,Health care,Genetic Counselor,110000,0.0,Virginia,Herndon,8 - 10 years,8 - 10 years,Master's degree
25-34,Business or Consulting,Senior Consultant,120000,8500.0,Illinois,Chicago,5-7 years,2 - 4 years,College degree
35-44,"Accounting, Banking & Finance",Controller,77776,0.0,New Jersey,Brick,11 - 20 years,11 - 20 years,Master's degree
45-54,Sales,Director of Sales,85000,17000.0,Wisconsin,Madison,21 - 30 years,21 - 30 years,Master's degree
25-34,Health care,Staff Pharmacist Manager,138000,15000.0,Indiana,Indianapolis,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
35-44,Health care,Clinical Trial Manager,111783,15000.0,California,Irvine,11 - 20 years,11 - 20 years,College degree
25-34,"Accounting, Banking & Finance",Senior Associate,135000,5000.0,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,College degree
35-44,Nonprofits,Executive Director,215000,10000.0,New York,New York,11 - 20 years,8 - 10 years,Master's degree
45-54,Publishing,Production editor,80,0.0,New York,NYC,21 - 30 years,21 - 30 years,Master's degree
18-24,Entertainment,Associate Producer and Creative Executive,90000,,California,Los Angeles,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Technical Editor,105000,35000.0,Washington,Seattle,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Software Engineer,151000,0.0,California,San Francisco,2 - 4 years,2 - 4 years,College degree
25-34,Engineering or Manufacturing,Senior Systems Engineer II,121000,10000.0,Arizona,Tucson,11 - 20 years,11 - 20 years,Master's degree
35-44,Computing or Tech,Technology Manager,150000,31000.0,Ohio,Cleveland,11 - 20 years,11 - 20 years,College degree
35-44,Health care,Director of Human Resources,71000,0.0,West Virginia,Lewisburg,11 - 20 years,11 - 20 years,Master's degree
35-44,Insurance,Software Developer,120000,10000.0,Wisconsin,Milwaukee,11 - 20 years,11 - 20 years,Some college
25-34,Health care,Assistant Operations Manager,60000,3000.0,Utah,Salt Lake City,5-7 years,5-7 years,College degree
35-44,Business or Consulting,Senior Actuary,130000,15000.0,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree
35-44,wholesale distribution,BRANCH MANAGER,100006,50000.0,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,High School
25-34,Engineering or Manufacturing,Production Engineer,90000,9000.0,New York,Long Island,5-7 years,5-7 years,College degree
35-44,Education (Higher Education),Library Director,69500,1000.0,Pennsylvania,Philadelphia,11 - 20 years,5-7 years,Master's degree
55-64,Retail,Assistant store manager,68000,5000.0,South Carolina,Charleston,21 - 30 years,21 - 30 years,College degree
35-44,Nonprofits,Finance Manager,125000,0.0,California,San Francisco,11 - 20 years,11 - 20 years,College degree
25-34,Nonprofits,"Director, Public Policy and Advocacy",89000,0.0,Virginia,Alexandria,11 - 20 years,8 - 10 years,College degree
35-44,Computing or Tech,Data Scientist,170000,0.0,District of Columbia,"Washington, DC",11 - 20 years,5-7 years,PhD
25-34,Education (Higher Education),Assistant Professor,75000,0.0,Ohio,Cleveland Area,5-7 years,5-7 years,PhD
35-44,Law,Associate Attorney,62000,3000.0,New York,Buffalo,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,Education (Higher Education),Associate Professor,127000,0.0,Rhode Island,Newport,11 - 20 years,11 - 20 years,PhD
55-64,Transport or Logistics,Executive Assistant,90000,5000.0,Minnesota,Saint Paul,11 - 20 years,11 - 20 years,College degree
35-44,Computing or Tech,Firmware Engineer,187000,200000.0,Washington,"Puyallup, WA",11 - 20 years,8 - 10 years,College degree
25-34,CPG / Retail,Senior Director,175000,40000.0,Connecticut,Stamford,5-7 years,5-7 years,Master's degree
25-34,Media & Digital,Associate Director Paid Search,105000,,Illinois,Chicago,5-7 years,5-7 years,Master's degree
25-34,Business or Consulting,Analyst,52000,2000.0,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree
45-54,Engineering or Manufacturing,"Complaint Coordinator, Global Markets",78000,,New Jersey,Princeton,21 - 30 years,1 year or less,College degree
35-44,Nonprofits,Director of finance and operations,92000,0.0,District of Columbia,Washington DC,11 - 20 years,5-7 years,Master's degree
45-54,"Accounting, Banking & Finance",Fraud Analyst,41600,4000.0,Nebraska,Omaha,31 - 40 years,5-7 years,Master's degree
25-34,"Accounting, Banking & Finance",CFO,140000,5000.0,Texas,Dallas,11 - 20 years,11 - 20 years,Master's degree
35-44,Retail,Admin. Assistant/accounts payable,61000,,Massachusetts,Chelmsford,21 - 30 years,2 - 4 years,Some college
45-54,Social Work,Director,53000,,Wisconsin,Jefferson,21 - 30 years,8 - 10 years,Master's degree
25-34,Engineering or Manufacturing,Continuous improvement manager,73500,0.0,South Carolina,Rural town,1 year or less,1 year or less,College degree
25-34,Computing or Tech,Software Engineer II,140000,,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree
35-44,Law,Senior Attorney,193000,120000.0,Georgia,Atlanta,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
25-34,Government and Public Administration,Librarian,71000,4000.0,New York,Long Island,8 - 10 years,8 - 10 years,Master's degree
35-44,Computing or Tech,Head data scientist,167000,53000.0,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree
35-44,Education (Higher Education),Librarian,72900,,New York,Rochester,11 - 20 years,11 - 20 years,Master's degree
35-44,Computing or Tech,software developer,105000,,Virginia,arlington,8 - 10 years,8 - 10 years,College degree
18-24,"Marketing, Advertising & PR",SEO Analyst,40000,1500.0,Florida,Tampa,2 - 4 years,1 year or less,College degree
45-54,Government and Public Administration,Tribal Librarian,52665,0.0,Michigan,prefer not to answer,21 - 30 years,21 - 30 years,Master's degree
35-44,Computing or Tech,Senior Software Engineer,157000,24000.0,California,San Francisco Bay Area,11 - 20 years,5-7 years,Master's degree
18-24,Media & Digital,Associate Publicist,45000,,New York,New York,2 - 4 years,1 year or less,College degree
45-54,Computing or Tech,Incident Manager,87000,10000.0,Pennsylvania,Philadelphia,21 - 30 years,5-7 years,Master's degree
35-44,Engineering or Manufacturing,Registered engineer,93000,10000.0,Minnesota,Saint paul,11 - 20 years,11 - 20 years,College degree
25-34,Art & Design,graphic designer 1,72500,5000.0,Oregon,Portland,5-7 years,2 - 4 years,College degree
35-44,Engineering or Manufacturing,Water Resources Engineer,106000,0.0,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Software Engineer,147000,0.0,California,San Francisco,2 - 4 years,2 - 4 years,College degree
35-44,Media & Digital,Production Editor,55000,0.0,New York,New York,11 - 20 years,11 - 20 years,College degree
18-24,Entertainment,Student,36400,,Connecticut,Hartford County,2 - 4 years,2 - 4 years,College degree
35-44,Government and Public Administration,GIS Technician,106000,,California,San Jose,5-7 years,5-7 years,PhD
25-34,Computing or Tech,Software Engineer II,90000,0.0,Utah,Logan,5-7 years,8 - 10 years,Master's degree
25-34,Insurance,Marketing Coordinator,32760,0.0,Pennsylvania,Scranton/Wilkes-Barre,8 - 10 years,2 - 4 years,College degree
65 or over,Media & Digital,Digital Creative Director,80000,2500.0,Pennsylvania,Philadelphia,21 - 30 years,11 - 20 years,College degree
25-34,Retail,Software Engineer,88580,8858.0,Minnesota,Richfield,8 - 10 years,2 - 4 years,College degree
45-54,Education (Higher Education),Librarian (Supervisory),84500,2300.0,Connecticut,na,21 - 30 years,11 - 20 years,Master's degree
25-34,"Accounting, Banking & Finance",Sr Credit Analyst,58258,2920.0,Missouri,Columbia,5-7 years,5-7 years,College degree
35-44,Government and Public Administration,Communications division manager,105000,0.0,Iowa,Cedar rapids,11 - 20 years,11 - 20 years,Master's degree
35-44,Computing or Tech,Program Manager,160000,52000.0,California,Santa Clara,11 - 20 years,8 - 10 years,Master's degree
25-34,"Accounting, Banking & Finance",CEO,52000,,Alabama,Huntsville,8 - 10 years,8 - 10 years,Master's degree
35-44,Government and Public Administration,Educational Technology Manager,107000,0.0,Michigan,Lansing,11 - 20 years,8 - 10 years,Master's degree
25-34,"Accounting, Banking & Finance",Teller,31400,,Maryland,Elkridge,8 - 10 years,2 - 4 years,High School
35-44,Real Estate/ Mortgage,Refinance Escrow Closer,47008,25000.0,Illinois,Chicago,11 - 20 years,11 - 20 years,Some college
25-34,Law,Associate Attorney,200000,25000.0,Texas,Dallas,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
18-24,Computing or Tech,Mathematician,65000,,Texas,Austin,2 - 4 years,1 year or less,College degree
25-34,Insurance,Data Analyst,58500,0.0,Iowa,Des Moines,1 year or less,1 year or less,Master's degree
35-44,Engineering or Manufacturing,Quality Engineer,75000,,California,Irvine,8 - 10 years,5-7 years,
35-44,Computing or Tech,Customer Success Manager - Implementation Manager and Technical Support,65000,4000.0,Oregon,Portland,21 - 30 years,8 - 10 years,College degree
25-34,Health care,Clinical dietitian,64000,0.0,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Software Engineer,120000,,Washington,Eastern WA,11 - 20 years,11 - 20 years,College degree
25-34,"Accounting, Banking & Finance",Accounting Clerk,52000,6500.0,"Illinois, North Carolina",Northbrook/ Charlotte,8 - 10 years,5-7 years,College degree
35-44,Government and Public Administration,Writer-Editor,72500,,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,Master's degree
35-44,Nonprofits,advancement coordinator,46000,1000.0,District of Columbia,washington,2 - 4 years,2 - 4 years,Master's degree
35-44,Property or Construction,Senior material coordinator,98004,40000.0,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Machine Learning Engineer,130000,10000.0,"Utah, Vermont",Remote,2 - 4 years,2 - 4 years,Master's degree
25-34,"Accounting, Banking & Finance",Reporting Analyst,45760,0.0,California,Anaheim,11 - 20 years,2 - 4 years,Some college
35-44,Computing or Tech,Senior developer,90000,,Wisconsin,Madison,11 - 20 years,5-7 years,College degree
35-44,Health care,Staff RN,68000,500.0,Georgia,Marietta,11 - 20 years,2 - 4 years,College degree
35-44,Business or Consulting,Solutions Consultant,103500,20000.0,Wisconsin,Kenosha,11 - 20 years,11 - 20 years,Master's degree
45-54,Publishing,Business Process Manager,60000,,California,San Diego,21 - 30 years,5-7 years,Master's degree
35-44,Computing or Tech,Client Platform Engineer,118000,,California,Los Angeles,11 - 20 years,8 - 10 years,Master's degree
35-44,"Accounting, Banking & Finance",Financial Analyst,87500,0.0,Texas,Irving,11 - 20 years,5-7 years,Master's degree
45-54,Health care,VP Operations,175000,0.0,New York,Pelham,21 - 30 years,11 - 20 years,Master's degree
35-44,Media & Digital,Digital Video Producer,43000,,Utah,Salt Lake City,5-7 years,2 - 4 years,College degree
25-34,Computing or Tech,Quality Assurance Specialist,48700,,Washington,Bellevue,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Product design,183000,0.0,District of Columbia,DC,8 - 10 years,5-7 years,Master's degree
25-34,Regulatory Affairs- nutraceuticals,Regulatory Affairs Supervisor,70980,10000.0,Wisconsin,,11 - 20 years,8 - 10 years,College degree
18-24,Business or Consulting,Associate,82000,4000.0,New York,NYC,1 year or less,1 year or less,College degree
35-44,Computing or Tech,DevOps Engineer,102500,,Texas,Austin,11 - 20 years,11 - 20 years,Master's degree
25-34,Education (Primary/Secondary),High school teacher,100000,5000.0,Illinois,Chicago,8 - 10 years,8 - 10 years,Master's degree
35-44,Libraries,Information Professional (Librarian),38000,,Florida,Tallahassee,8 - 10 years,5-7 years,Master's degree
55-64,Computing or Tech,Instructional Designer,125000,10000.0,Washington,Kirkland,31 - 40 years,31 - 40 years,Master's degree
25-34,Law,Associate Attorney,280000,0.0,Illinois,Chicago,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)"
25-34,Utilities & Telecommunications,network engineer,105000,,New York,NYC,2 - 4 years,2 - 4 years,College degree
25-34,Government and Public Administration,Program specialist II,43591,,North Carolina,Greensboro,8 - 10 years,5-7 years,College degree
35-44,Education (Primary/Secondary),Human Resources,54000,1000.0,North Carolina,Asheboro,21 - 30 years,2 - 4 years,Master's degree
25-34,Government and Public Administration,Office Services Manager,52740,0.0,Nebraska,"Lincoln, NE",5-7 years,5-7 years,Master's degree
18-24,Computing or Tech,Software Engineer,80000,10000.0,New Jersey,Holmdel,2 - 4 years,2 - 4 years,College degree
25-34,Nonprofits,Program Manager,50000,,Maryland,Baltimore,8 - 10 years,8 - 10 years,College degree
35-44,Retail,senior executive search consultant,87000,7500.0,Minnesota,minneapolis,5-7 years,2 - 4 years,Master's degree
25-34,Education (Higher Education),Assistant Director of Admission,50000,0.0,Pennsylvania,Pittsburgh,5-7 years,5-7 years,Master's degree
35-44,"Marketing, Advertising & PR",Senior Art Director,100000,0.0,New York,New York City,11 - 20 years,11 - 20 years,College degree
25-34,Nonprofits,Development Officer,42500,0.0,Illinois,Greater Chicago Area,2 - 4 years,2 - 4 years,Some college
35-44,Recruitment or HR,HR generalist,55000,0.0,Tennessee,Nashville,11 - 20 years,5-7 years,College degree
25-34,Computing or Tech,Team Lead,140000,10000.0,,Madison,8 - 10 years,8 - 10 years,
35-44,Education (Higher Education),Research Scientist,60000,0.0,Arizona,Tucson,11 - 20 years,11 - 20 years,PhD
25-34,Computing or Tech,Senior Product Marketing Manager,165000,25000.0,California,San Francisco,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
35-44,Education (Higher Education),Digital Content Management Librarian,88000,,Massachusetts,"Cambridge ,MA",11 - 20 years,11 - 20 years,Master's degree
35-44,Media & Digital,Editor,125000,0.0,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree
35-44,Computing or Tech,Senior Technical Writer,83000,8000.0,California,San Diego,8 - 10 years,5-7 years,College degree
18-24,Health care,Ophthalmic Technician,31200,0.0,Texas,San Marcos,1 year or less,1 year or less,Some college
35-44,Chemicals,Engineering Manager,102000,7000.0,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree
25-34,"Marketing, Advertising & PR",Investment Supervisor (Media),88550,,California,Los Angeles,11 - 20 years,8 - 10 years,College degree
25-34,Government contractor,Training specialist,70000,0.0,California,San Diego,8 - 10 years,5-7 years,Some college
35-44,Computing or Tech,Principle Software Engineer,150000,50000.0,Oregon,Portland,11 - 20 years,11 - 20 years,High School
25-34,"Accounting, Banking & Finance",Plant Controller,75000,10000.0,South Carolina,Camden,5-7 years,5-7 years,Master's degree
35-44,Education (Higher Education),Assistant Professor,73000,,Illinois,Wheaton,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Production Support Analyst - Configuration,52500,2500.0,Michigan,East Lansing,8 - 10 years,2 - 4 years,Some college
35-44,Computing or Tech,Senior Software Engineer,155000,,Indiana,West Lafayette,11 - 20 years,11 - 20 years,Some college
18-24,Retail,Area sales manager,49000,,Texas,Austin,1 year or less,1 year or less,College degree
25-34,Engineering or Manufacturing,Senior project engineer,78000,3000.0,Texas,Austin,2 - 4 years,2 - 4 years,Master's degree
25-34,Education (Primary/Secondary),Language Lab Specialist,40500,,Massachusetts,Brookline,2 - 4 years,2 - 4 years,College degree
25-34,Health care,Data Analyst,100000,15000.0,California,San Francisco,5-7 years,5-7 years,College degree
35-44,Government and Public Administration,Analyst,117000,0.0,District of Columbia,Washington,21 - 30 years,21 - 30 years,Master's degree
45-54,Education (Higher Education),System Administrator,81391,,Alaska,Juneau,31 - 40 years,31 - 40 years,Some college
45-54,Law,Attorney Advisor,85000,14000.0,Louisiana,Metairie,11 - 20 years,11 - 20 years,Master's degree
35-44,Computing or Tech,Senior Engineering Manager,165000,88750.0,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree
45-54,Health care,Dental hygienist,72000,500.0,Utah,St. George,31 - 40 years,31 - 40 years,College degree
35-44,Nonprofits,Salesforce Administrator,55000,500.0,Texas,Dallas,11 - 20 years,1 year or less,Master's degree
35-44,Social Work,Senior therapist,70000,,New York,Rochester,11 - 20 years,11 - 20 years,Master's degree
25-34,Government and Public Administration,Assistant Library Director/Systems Librarian,55200,,North Carolina,Lillington,5-7 years,5-7 years,Master's degree
45-54,Education (Higher Education),LIBRARY TECHNICIAN,46700,,Washington,TACOMA,21 - 30 years,21 - 30 years,College degree
25-34,"Accounting, Banking & Finance",Senior Revenue Accountant,105000,0.0,California,San Ramon,2 - 4 years,2 - 4 years,Master's degree
25-34,Computing or Tech,Sr Executive Administrator,70700,4400.0,Colorado,Denver,11 - 20 years,8 - 10 years,College degree
25-34,Education (Higher Education),Director,110000,0.0,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,PhD
25-34,Research,"Research Assistant, Sr",51362,0.0,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree
35-44,Engineering or Manufacturing,Sr. Project Engineer,132000,16000.0,California,San Diego,11 - 20 years,11 - 20 years,Master's degree
45-54,Insurance,?Regulatory Compliance Manager,121000,5000.0,Minnesota,Minneapolis,31 - 40 years,8 - 10 years,Master's degree
25-34,Utilities & Telecommunications,"Manager, Sales Operations",130000,25000.0,California,San Francisco,8 - 10 years,5-7 years,College degree
25-34,Recruitment or HR,Learning and development manager,45000,5000.0,North Carolina,Wilmington,5-7 years,2 - 4 years,College degree
25-34,Childcare,Daycare attendant,28100,,Alaska,Eagle River,5-7 years,5-7 years,Some college
35-44,Business or Consulting,Director,100000,10000.0,Maine,Portland,11 - 20 years,11 - 20 years,College degree
25-34,Utilities & Telecommunications,Senior Land Technician,115500,0.0,California,Concord,5-7 years,5-7 years,College degree
25-34,"Accounting, Banking & Finance",Senior Operational Auditor,82000,3500.0,Illinois,Chicago,5-7 years,2 - 4 years,College degree
35-44,Computing or Tech,"Director, Technology Delivery",187000,80000.0,North Carolina,Charlotte,21 - 30 years,21 - 30 years,College degree
25-34,Computing or Tech,Technical Support,66000,,Wisconsin,Madison,1 year or less,1 year or less,College degree
35-44,Nonprofits,Program manager,72000,0.0,District of Columbia,Washington,11 - 20 years,8 - 10 years,Master's degree
35-44,Transport or Logistics,Director of BDC & CRM,100000,0.0,California,Los Angeles,11 - 20 years,5-7 years,College degree
35-44,Government and Public Administration,Maintenance Supervisor,95368,3000.0,Alaska,Anchorage,21 - 30 years,11 - 20 years,College degree
25-34,Defense,research scientist,86953,500.0,Ohio,Dayton,2 - 4 years,2 - 4 years,PhD
25-34,Business or Consulting,Project Management Associate,56600,960.0,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,College degree
35-44,Computing or Tech,Senior Customer Success Manager,71309,7130.0,New York,Albany,11 - 20 years,8 - 10 years,College degree
18-24,Engineering or Manufacturing,Senior Technician,52000,6000.0,Pennsylvania,Malvern,2 - 4 years,2 - 4 years,College degree
25-34,"Marketing, Advertising & PR",Marketing Specialist,67600,7000.0,Indiana,Fort wayne,11 - 20 years,2 - 4 years,College degree
25-34,"Marketing, Advertising & PR",SEO Specialist,65000,8000.0,Oregon,Portland,8 - 10 years,8 - 10 years,College degree
25-34,Renewable Energy,Office Manager,75000,3500.0,Illinois,Chicago,11 - 20 years,5-7 years,Master's degree
25-34,Nonprofits,"Manager, Institutional Partnerships",80000,,New York,New York,8 - 10 years,8 - 10 years,Master's degree
18-24,Health care,patient care technician,37000,216.0,Texas,Dallas,2 - 4 years,2 - 4 years,College degree
35-44,"Accounting, Banking & Finance",Project Manager,104000,15000.0,Minnesota,Minneapolis,11 - 20 years,8 - 10 years,College degree
25-34,"Marketing, Advertising & PR",Marketing Manager,100000,10000.0,Tennessee,Narnia,8 - 10 years,5-7 years,Master's degree
25-34,Art & Design,3D Artist,80000,1200.0,Texas,Austin,11 - 20 years,8 - 10 years,College degree
25-34,Nonprofits,Pastor,67500,1000.0,Massachusetts,Brookline,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
25-34,Health care,Certified Anesthesiologist Assistant,150000,15000.0,Colorado,Denver,1 year or less,1 year or less,Master's degree
35-44,Utilities & Telecommunications,Senior Treasury Accountant,80000,5000.0,Oklahoma,Oklahoma City,11 - 20 years,5-7 years,College degree
45-54,Education (Primary/Secondary),Data Processor,42500,0.0,Washington,Seattle,11 - 20 years,2 - 4 years,Some college
25-34,Education (Higher Education),Graduate Student,36000,0.0,Pennsylvania,State College,5-7 years,5-7 years,Master's degree
25-34,Property or Construction,Project Manager,85000,,California,Tustin,5-7 years,5-7 years,Master's degree
25-34,Engineering or Manufacturing,Flight Operations Engineer,88400,,Maryland,Greenbelt,2 - 4 years,2 - 4 years,College degree
45-54,"Accounting, Banking & Finance",president,200000,250000.0,North Carolina,Asheville,21 - 30 years,21 - 30 years,Master's degree
25-34,Education (Higher Education),Executive Assistant,46100,,Rhode Island,Providence,5-7 years,5-7 years,Master's degree
35-44,Government and Public Administration,Executive Director,180000,24000.0,Texas,Midland,11 - 20 years,5-7 years,College degree
18-24,Science (Laboratory),QA Engineer,59000,4000.0,Ohio,Cleveland,2 - 4 years,2 - 4 years,College degree
25-34,Art & Design,Apparel Designer,90000,5000.0,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree
25-34,Engineering or Manufacturing,Structural Engineer,72000,,Ohio,"Columbus, OH",2 - 4 years,1 year or less,Master's degree
35-44,Nonprofits,HR director,61200,0.0,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree
45-54,Government and Public Administration,Librarian,42800,0.0,Idaho,Pocatello,11 - 20 years,8 - 10 years,Master's degree
35-44,Nonprofits,Events Manager,60000,,New York,New York City,11 - 20 years,8 - 10 years,Master's degree
18-24,Property or Construction,Assistant Property Manager,31680,2000.0,Oregon,Eugene,5-7 years,2 - 4 years,Some college
25-34,Law,Associate Attorney,130000,28000.0,,Atlanta,5-7 years,5-7 years,
25-34,Nonprofits,Program Coordinator,58572,0.0,California,San Francisco,5-7 years,5-7 years,College degree
35-44,Government and Public Administration,Computer System Administrator,145000,0.0,Illinois,Chicago,21 - 30 years,21 - 30 years,Master's degree
25-34,Nonprofits,AmeriCorps Program Coordinator,49900,,Wisconsin,Madison,2 - 4 years,2 - 4 years,Master's degree
35-44,Retail,Customer support representative,32656,0.0,Tennessee,Nashville,11 - 20 years,11 - 20 years,College degree
45-54,Business or Consulting,Director of Strategy,300000,0.0,California,San Francisco,21 - 30 years,11 - 20 years,Master's degree
25-34,Law,Librarian,87500,,California,Southern California,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,Nonprofits,National Manager Learning Systems,62000,6000.0,Pennsylvania,Easton,11 - 20 years,11 - 20 years,Master's degree
35-44,Education (Higher Education),Adjunct Instructor,15000,0.0,Massachusetts,Chicopee,11 - 20 years,8 - 10 years,PhD
35-44,Engineering or Manufacturing,Director,16000,,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree
35-44,Education (Primary/Secondary),Instructor,112000,,Illinois,Winnetka,11 - 20 years,11 - 20 years,PhD
45-54,Recruitment or HR,HR Manager,90000,15000.0,Texas,Amarillo,21 - 30 years,21 - 30 years,Some college
35-44,Nonprofits,Program Manager,44000,0.0,North Carolina,Greensboro,11 - 20 years,11 - 20 years,Some college
35-44,Computing or Tech,Architect,295000,50000.0,Illinois,Chicago,11 - 20 years,2 - 4 years,High School
45-54,Computing or Tech,Sr QA Analyst,91000,0.0,North Carolina,Cary,21 - 30 years,21 - 30 years,College degree
25-34,Recruitment or HR,HR Business Partner,110000,10000.0,Florida,Tampa,8 - 10 years,5-7 years,Master's degree
35-44,Business or Consulting,Consulting Director,175000,8000.0,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree
25-34,Business or Consulting,Business Analust,86000,1500.0,Massachusetts,Boston,5-7 years,2 - 4 years,College degree
45-54,Education (Higher Education),Librarian,110000,,New Jersey,Princeton,21 - 30 years,11 - 20 years,Master's degree
25-34,Insurance,Senior examiner (claims),85000,6000.0,Washington,Renton,5-7 years,5-7 years,College degree
25-34,Education (Primary/Secondary),After School Program Leader,27000,0.0,Maine,Portland,8 - 10 years,2 - 4 years,Master's degree
35-44,Education (Higher Education),Assistant Professor,74000,0.0,New York,Albany,11 - 20 years,11 - 20 years,PhD
45-54,"Accounting, Banking & Finance",Business Support Consultant,65300,2000.0,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,College degree
25-34,"Accounting, Banking & Finance",Compliance Officer,74000,1000.0,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree
25-34,"Accounting, Banking & Finance",Assistant Vice President-Manager,138000,20000.0,New York,New York,5-7 years,5-7 years,College degree
55-64,Business or Consulting,HR Coordinator,40000,,North Carolina,Fayetteville,2 - 4 years,5-7 years,Master's degree
35-44,Law,Counsel,250000,30000.0,California,Los Angeles,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,Recruitment or HR,HR Director,93600,0.0,Michigan,Ann Arbor,11 - 20 years,8 - 10 years,Master's degree
45-54,Engineering or Manufacturing,Sr. Project Engineer,175000,0.0,Pennsylvania,Plymouth Meeting,11 - 20 years,11 - 20 years,College degree
45-54,Government and Public Administration,Recreation Program Specialist,45000,,North Carolina,Raleigh,11 - 20 years,5-7 years,College degree
25-34,Consumer/Packaged Goods,"Senior Analyst, Business Transformation Portfolio Lead",95000,,New York,Purchase,5-7 years,1 year or less,College degree
25-34,Computing or Tech,Software engineer,90000,,Massachusetts,Waltham,5-7 years,5-7 years,Master's degree
35-44,Computing or Tech,Front end developer,92000,5000.0,Maryland,Baltimore,11 - 20 years,8 - 10 years,Master's degree
35-44,Education (Higher Education),career counselor,62500,,California,Sacramento,8 - 10 years,2 - 4 years,PhD
25-34,Computing or Tech,Senior UX Designer,140000,0.0,California,San Francisco,11 - 20 years,8 - 10 years,Some college
25-34,Government and Public Administration,Director of Policy & Advocacy,102000,0.0,New York,New York,8 - 10 years,8 - 10 years,Master's degree
25-34,Insurance,Risk Manager,132000,7500.0,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree
